Paper Title,Evaluation Framework,Evaluation Methods,Key Metrics,Key Findings,Source
Agent-as-a-Judge: Evaluate Agents with Agents,Agent-as-a-Judge,"Multi-agent systems using planning, tool-augmented verification (code execution, trace analysis), and multi-agent collaboration for intermediate feedback.","Reliability, Concordance with human evaluation, Alignment Rate, Judge Shift, Success Rate, Partial Completion",Dramatically outperforms LLM-as-a-Judge for code generation (DevAI benchmark); achieves 90% agreement with humans; reduces evaluation time/cost by 97%.,[1-3]
Mind2Web 2: Evaluating Agentic Search with Agent-as-a-Judge,Agent-as-a-Judge (Mind2Web 2),"Tree-structured rubrics with hierarchical evaluation nodes, gating logic (critical vs. non-critical), and automated judge scripts using Extractor and Verifier tools.","Partial Completion, Success Rate, Pass@3, Source Attribution accuracy, Human Performance Percentage",OpenAI Deep Research achieved 50-70% of human performance; judge agents demonstrated 99.03% accuracy in leaf-node verification; long-horizon tasks require real-time browsing.,[4-6]
Agentic Reinforcement Learning with Implicit Step Rewards (iStar),iStar (Implicit Reward Modeling),Alternating optimization of an implicit PRM and policy model; trajectory-based multi-turn Direct Preference Optimization (DPO).,"Success Rate, Score (WebShop), Goal Completion Score (SOTOPIA), Sample Efficiency, Episode Efficiency",Achieves state-of-the-art results on WebShop (86.5%) and VisualSokoban (91.7%); increases SOTOPIA goal completion by 14-48%; reaches performance in half the training steps of vanilla RLOO.,[7-11]
Examining Reasoning LLMs-as-Judges in Non-Verifiable LLM Post-Training,Reasoning LLM-as-a-Judge,"Comparison of non-reasoning vs. reasoning judges (e.g., gpt-oss-120b); SFT distillation of thinking tokens; GRPO training for judges; pointwise/pairwise scoring.","Krippendorff's Alpha, Win Rate (Arena-Hard-V2), Reward Hacking Rate, Elo ratings","Reasoning judges lead to stronger policies and prevent standard reward hacking; however, policies may learn adversarial behaviors (refusal, fabrication) to deceive judges.",[12-15]
SPELL: Self-Play Reinforcement Learning for Evolving Long-Context Language Models,SPELL self-play,"Cyclical loop of Questioning, Responding, and Verifying roles; semantic equivalence via majority voting; Gaussian-shaped difficulty reward; automated curriculum.","Pass@k, Accuracy (LongBench-V2, Frames, DocMath, LB-MQA), Relative Improvement",Consistently enhances long-context reasoning (+9-14 points) without human labels; generalizes to 100K context when trained at 16K; prevents collapse into trivial loops.,"[10, 16, 17]"
Counterfactual Self-Questioning for Stable Policy Optimization in Language Models,Counterfactual Self-Questioning (CSQ),"Internal ego-critique where models generate ""What if this step is wrong?"" probes; Group Relative Policy Optimization (GRPO).","Accuracy, Accuracy Lift (points and %), Exact Match",Accuracy improved by 6.7 to 12.4 points over standard CoT; most effective for small/medium models where internal verification is weaker.,"[10, 18, 19]"
Reward Under Attack: Analyzing the Robustness and Hackability of Process Reward Models,PRM-BiasBench,"Three-tiered diagnostic framework: static perturbation analysis, adversarial optimization, and RL-induced reward hacking.","Reward changes, Ground-truth accuracy, Stylistic shortcut percentage",Current PRMs function as fluency detectors rather than reasoning verifiers and are systematically exploitable under adversarial pressure.,[20]
MiRA (Milestoning your Reinforcement Learning Enhanced Agent),MiRA RL training framework,Dense milestone-based reward signals for open models; online planning through subgoal decomposition for proprietary models.,Success Rate (SR),"Increased Gemma3-12B success rate from 6.4% to 43.0% on WebArena-Lite, surpassing GPT-4o (13.9%); explicit planning improves proprietary models by ~10%.",[21]
Rewarding Progress: Scaling Automated Process Verifiers for LLM Reasoning,Process Advantage Verifiers (PAV),Measuring progress as change in likelihood of correct future responses under a prover policy; test-time search against PAVs.,"Accuracy, Sample Efficiency, Compute Efficiency",PAVs improved accuracy by >8% and were 1.5-5x more compute-efficient than ORMs; online RL accuracy increased by >6% with 5-6x sample efficiency gains.,[21]
SPICE: Self-Play In Corpus Environments Improves Reasoning,SPICE,Dual-role self-play (Challenger/Reasoner); document-grounded task generation; Gaussian variance-based curriculum reward; GPT-4o verification.,"Pass@1 Accuracy, Benchmark Average (%), Math/General Reasoning Gains",Achieved gains of 8.9% in math and 9.8% in general reasoning; document grounding prevents hallucination and provides necessary information asymmetry.,[22]
